Date,T_treatment,chamber_type,RM,RM_SE,LM,WM,LM_SE,WM_SE,litter,litter_SE,TNC,TNC_SE
17/09/2013,ambient,drought,287.741736,86.53417438,185.0681936,241.6793381,55.25478793,57.16864317,0,0,NA,NA
17/09/2013,ambient,watered,309.7513433,38.08809973,275.7369524,326.8407941,40.90957588,11.33859689,0,0,NA,NA
17/09/2013,elevated,drought,365.0209792,122.960993,323.1550477,478.6453659,56.68654172,82.67225731,0,0,NA,NA
17/09/2013,elevated,watered,442.9586121,172.4104652,324.7368337,524.0846526,96.2263011,122.4411681,0,0,NA,NA
19/09/2013,ambient,drought,NA,NA,NA,NA,NA,NA,NA,NA,36.450706,1.826835843
19/09/2013,ambient,watered,NA,NA,NA,NA,NA,NA,NA,NA,66.2356533,4.279886978
19/09/2013,elevated,drought,NA,NA,NA,NA,NA,NA,NA,NA,85.86307897,5.720296906
19/09/2013,elevated,watered,NA,NA,NA,NA,NA,NA,NA,NA,62.93956841,5.329835849
22/09/2013,ambient,drought,NA,NA,NA,NA,NA,NA,2.816247111,2.324246378,NA,NA
22/09/2013,ambient,watered,NA,NA,NA,NA,NA,NA,2.007170667,1.243342272,NA,NA
22/09/2013,elevated,drought,NA,NA,NA,NA,NA,NA,2.506690667,1.007877021,NA,NA
22/09/2013,elevated,watered,NA,NA,NA,NA,NA,NA,1.582850667,0.981226622,NA,NA
1/10/2013,ambient,drought,NA,NA,221.2827643,298.4804532,73.33376676,69.42326782,NA,NA,NA,NA
1/10/2013,ambient,watered,NA,NA,312.0150311,405.5437048,48.38821654,16.60643769,NA,NA,NA,NA
1/10/2013,elevated,drought,NA,NA,398.107636,589.4151325,74.87910718,102.1829046,NA,NA,NA,NA
1/10/2013,elevated,watered,NA,NA,383.713002,638.6609984,113.9896972,150.8200734,NA,NA,NA,NA
8/10/2013,ambient,drought,NA,NA,NA,NA,NA,NA,7.902334222,6.618999774,NA,NA
8/10/2013,ambient,watered,NA,NA,NA,NA,NA,NA,11.69281422,3.297682953,NA,NA
